Размер массива,30,50,100,125,170
500,108,95,174,210,90
600,94,86,154,142,116
700,109,100,151,152,117
800,252,122,157,160,134
900,141,142,147,193,156
1000,151,152,157,164,126
1100,163,164,161,179,176
1200,171,170,197,181,143
1300,190,181,172,188,154
1400,192,189,176,194,161
1500,200,201,187,203,168
1600,213,206,193,210,175
1700,217,214,197,222,183
1800,228,223,203,229,191
1900,235,232,208,237,198
2000,243,240,214,244,205
2100,252,247,220,255,213
2200,261,260,225,262,220
2300,270,265,231,270,227
2400,278,273,237,277,235
2500,288,280,242,284,242
2600,296,288,248,291,249
2700,306,296,254,298,257
2800,309,304,259,305,263
2900,323,313,266,312,271
3000,330,321,272,320,278
3100,339,328,278,328,285
3200,347,336,283,335,292
3300,355,344,289,342,300
3400,365,352,295,349,307
3500,373,360,301,357,314
3600,381,367,307,364,321
3700,390,375,312,372,329
3800,399,383,318,379,336
3900,409,391,324,387,344
4000,417,399,331,394,351
4100,426,407,336,401,358
4200,435,415,342,409,366
4300,444,423,348,416,373
4400,453,431,354,424,381
4500,462,439,360,431,388
4600,471,447,366,439,395
4700,480,455,372,446,403
4800,489,463,378,454,410
4900,498,471,384,461,417
5000,507,479,390,469,425
5100,516,487,396,476,432
5200,525,495,402,484,439
5300,534,503,408,491,447
5400,543,511,414,499,454
5500,552,519,420,506,461
5600,562,528,426,514,469
5700,570,536,432,521,476
5800,579,544,438,529,483
5900,588,552,444,536,491
6000,597,560,450,544,498
6100,606,568,456,551,505
6200,616,576,463,559,513
6300,624,584,469,566,520
6400,633,592,475,574,527
6500,642,600,481,581,535
6600,651,608,487,589,542
6700,660,616,493,597,549
6800,669,624,499,604,557
6900,678,632,505,612,564
7000,687,640,511,619,571
7100,696,648,517,627,579
7200,705,656,523,634,586
7300,714,664,529,642,594
7400,723,672,535,649,601
7500,732,680,541,657,608
7600,742,689,547,665,616
7700,750,697,553,672,623
7800,759,705,559,680,630
7900,768,713,565,687,638
8000,777,721,571,695,645
8100,786,729,577,702,652
8200,795,737,583,710,660
8300,804,745,589,717,667
8400,813,753,595,725,674
8500,822,761,601,733,682
8600,831,769,607,740,689
8700,840,777,613,748,697
8800,849,785,619,755,704
8900,858,793,625,763,711
9000,867,801,631,771,719
9100,876,809,637,778,726
9200,886,817,643,786,733
9300,894,825,649,793,741
9400,903,833,655,801,748
9500,912,841,661,808,755
9600,921,849,667,816,763
9700,930,857,673,823,770
9800,939,865,679,831,777
9900,948,873,685,839,785
10000,957,881,691,846,792
