Размер массива,Рандомные числа,Отсортированы по невозрастанию,Почти отсортированный массив
500,135,131,138
600,140,115,130
700,144,153,136
800,151,155,148
900,164,166,160
1000,174,174,170
1100,181,183,182
1200,188,191,186
1300,198,197,193
1400,204,205,204
1500,213,214,212
1600,222,223,221
1700,230,232,228
1800,239,239,237
1900,248,248,245
2000,256,258,254
2100,266,266,262
2200,273,275,269
2300,282,283,279
2400,291,291,287
2500,301,301,297
2600,310,310,306
2700,318,318,313
2800,328,327,323
2900,337,337,331
3000,346,344,340
3100,354,354,349
3200,363,362,357
3300,372,371,367
3400,382,381,375
3500,390,389,384
3600,399,398,393
3700,409,407,402
3800,418,415,410
3900,427,424,420
4000,435,433,428
4100,444,441,437
4200,452,450,445
4300,462,459,455
4400,471,467,463
4500,480,476,473
4600,489,485,481
4700,497,494,490
4800,507,503,499
4900,516,512,508
5000,525,520,516
5100,534,529,526
5200,543,538,534
5300,552,547,543
5400,561,555,553
5500,570,565,562
5600,580,574,571
5700,588,582,580
5800,598,591,589
5900,607,600,598
6000,616,609,607
6100,625,618,615
6200,635,627,625
6300,643,636,634
6400,652,645,643
6500,662,653,652
6600,671,662,661
6700,679,671,670
6800,689,680,679
6900,698,689,687
7000,707,697,697
7100,716,706,705
7200,726,715,715
7300,735,724,724
7400,744,733,733
7500,752,741,742
7600,762,751,751
7700,771,760,759
7800,780,768,769
7900,789,778,778
8000,799,786,787
8100,807,795,796
8200,817,804,805
8300,826,813,814
8400,835,822,823
8500,845,831,833
8600,853,840,842
8700,863,849,851
8800,872,857,860
8900,881,866,869
9000,890,875,878
9100,900,884,887
9200,909,893,896
9300,918,902,905
9400,928,910,915
9500,936,919,923
9600,946,928,933
9700,955,937,942
9800,964,946,951
9900,973,955,960
10000,983,964,969
